[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-150C3E39-regular (vcpu:4) is NODE2 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-150C3E39 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-150C3E39 in h:NODE2 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 28
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 3 at ts: 7 s gt: 7
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 7 from START sec is 619.0 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-B5013EA6-regular (vcpu:4) is NODE2 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-B5013EA6 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-B5013EA6 in h:NODE2 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 32
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 3 at ts: 7 s gt: 7
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 7 from START sec is 623.0 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-547A4396-critical (vcpu:4) is NODE3 (cpu:32.0). ovbCount:0, tax:0 hasOvb? False.
[INFO    | Chave_serial| require_replica ] --> i-547A4396-critical require replication! AZ6=?AZ6
[INFO    | Chave_serial| replicate_vm ] --> Pool lc1_AZ6_i-547A4396 created for replication
[DEBUG   | Virtual | set_host_id ] --> Host id NODE3 defined for i-547A4396 t:critical, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-547A4396 in h:NODE3 t:critical az:AZ6
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE3 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE3: 4
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 4 at ts: 7 s gt: 7
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 7 from START sec is 780.08 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-9612414A-regular (vcpu:4) is NODE3 (cpu:28.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE3 defined for i-9612414A t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-9612414A in h:NODE3 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE3: 8
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 4 at ts: 7 s gt: 7
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 7 from START sec is 795.52 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-BF283EA9-regular (vcpu:4) is NODE3 (cpu:24.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE3 defined for i-BF283EA9 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-BF283EA9 in h:NODE3 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE3: 12
